URL_LENGTH,TLD,STATE,REGDATE,ZIPCODE,CITY,CONTENT_ENCODING,CONTENT_TYPE,CLASS
142,3,0,0,0,0,1,1,1
65,2,1,0,1,1,1,1,1
78,1,1,0,0,0,0,3,1
77,1,1,0,0,0,0,3,1
37,1,1,0,1,1,0,2,1
56,4,0,0,1,1,0,2,1
51,1,1,0,0,0,1,2,1
49,1,1,0,0,0,1,1,1
73,1,1,1,0,0,0,3,1
56,1,1,1,0,0,0,3,1
164,4,0,1,1,1,1,1,1
56,4,1,0,0,0,0,1,1
40,4,0,0,0,0,0,2,1
80,4,0,1,1,1,1,1,1
97,4,0,0,0,0,1,1,1
87,1,0,0,0,0,1,1,1
54,4,0,0,1,1,0,2,1
42,4,0,0,1,1,0,2,1
47,4,0,0,1,1,0,2,1
58,4,0,1,0,0,1,1,1
59,4,0,1,0,0,1,1,1
48,1,1,0,0,0,0,3,1
49,1,1,0,0,0,0,3,1
59,4,0,0,0,0,1,2,1
86,4,1,1,0,0,1,1,1
58,1,1,0,0,0,0,3,1
56,1,1,0,0,0,0,2,1
64,4,0,1,0,0,0,1,1
44,1,1,0,0,0,0,1,1
30,4,1,1,0,0,1,1,1
86,1,0,1,0,0,1,1,1
28,1,1,0,0,0,0,2,1
65,4,0,1,0,0,0,1,1
49,1,0,0,1,1,1,1,1
67,4,0,0,0,0,1,2,1
39,4,0,0,0,0,1,1,1
53,4,1,0,1,1,1,1,1
49,4,0,0,0,0,0,3,1
43,1,0,0,0,0,0,2,1
53,4,0,0,1,1,0,2,1
57,1,0,1,0,0,0,1,1
62,1,0,1,0,0,0,1,1
55,4,0,0,0,0,1,2,1
51,3,0,0,1,1,1,3,1
52,3,0,0,1,1,1,3,1
81,2,0,0,1,1,1,3,1
38,1,0,0,0,0,0,3,1
47,4,1,0,0,0,0,3,1
84,1,0,0,0,0,1,1,1
52,1,1,1,0,0,1,1,1
134,3,1,0,0,0,1,1,1
37,1,1,0,0,0,0,2,1
29,1,1,0,1,1,1,1,1
43,1,1,1,0,0,1,1,1
54,1,1,0,1,1,1,3,1
60,4,0,0,0,0,1,2,1
70,4,0,0,0,0,1,2,1
254,1,1,0,0,0,0,2,1
264,1,1,0,0,0,0,2,1
267,1,1,0,1,1,1,1,1
56,1,1,0,0,0,0,3,1
57,1,1,0,0,0,0,3,1
30,2,0,0,0,0,1,2,1
43,4,1,1,1,1,1,1,1
280,4,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,0
20,1,1,1,0,0,1,2,0
72,1,1,1,0,0,1,1,0
26,1,1,1,0,0,1,1,0
